Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10224, 1130, 9094, 211
16, 10386, 1130, 9256, 213
16, 10199, 1131, 9068, 82
16, 10044, 1132, 8912, 104
16, 10240, 1132, 9108, 209
16, 10021, 1133, 8888, 90
16, 10202, 1133, 9069, 174
16, 10241, 1133, 9108, 195
16, 10246, 1133, 9113, 125
16, 10200, 1134, 9066, 166
16, 10341, 1134, 9207, 149
16, 10016, 1136, 8880, 138
16, 10043, 1136, 8907, 117
16, 10371, 1136, 9235, 117
16, 10544, 1136, 9408, 151
16, 10203, 1137, 9066, 177
16, 10292, 1137, 9155, 219
16, 10272, 1138, 9134, 160
16, 10312, 1138, 9174, 115
16, 10222, 1139, 9083, 159
16, 10233, 1139, 9094, 157
16, 10476, 1139, 9337, 222
16, 10718, 1139, 9579, 148
16, 10770, 1139, 9631, 165
16, 10186, 1140, 9046, 160
16, 10282, 1140, 9142, 107
16, 10373, 1140, 9233, 224
16, 10402, 1141, 9261, 170
16, 10039, 1142, 8897, 210
16, 10377, 1143, 9234, 187
16, 10300, 1144, 9156, 180
16, 10135, 1145, 8990, 150
16, 10267, 1145, 9122, 140
16, 10446, 1145, 9301, 161
16, 10477, 1145, 9332, 195
16, 10743, 1145, 9598, 164
16, 10038, 1147, 8891, 127
16, 10150, 1147, 9003, 68
16, 10404, 1147, 9257, 125
16, 10347, 1148, 9199, 126
16, 10555, 1148, 9407, 199
16, 10075, 1149, 8926, 149
16, 10514, 1149, 9365, 171
16, 10016, 1150, 8866, 164
16, 10446, 1150, 9296, 141
16, 10005, 1153, 8852, 155
16, 10025, 1154, 8871, 150
16, 10052, 1154, 8898, 144
16, 10100, 1155, 8945, 92
16, 10158, 1155, 9003, 146
16, 10510, 1156, 9354, 261
16, 10222, 1157, 9065, 146
16, 10503, 1157, 9346, 166
16, 9997, 1157, 8840, 155
16, 10054, 1158, 8896, 158
16, 10309, 1158, 9151, 173
16, 10343, 1158, 9185, 195
16, 10367, 1158, 9209, 161
16, 10188, 1160, 9028, 174
16, 10423, 1160, 9263, 197
16, 10152, 1161, 8991, 169
16, 10010, 1162, 8848, 161
16, 10142, 1162, 8980, 78
16, 10178, 1163, 9015, 256
16, 10135, 1164, 8971, 164
16, 10216, 1165, 9051, 189
16, 10150, 1166, 8984, 73
16, 9998, 1166, 8832, 215
16, 10104, 1167, 8937, 232
16, 10107, 1167, 8940, 180
16, 10023, 1168, 8855, 145
16, 10333, 1168, 9165, 150
16, 10467, 1168, 9299, 188
16, 10220, 1169, 9051, 122
16, 10233, 1169, 9064, 207
16, 10078, 1170, 8908, 172
16, 10101, 1170, 8931, 162
16, 10179, 1172, 9007, 184
16, 10288, 1172, 9116, 173
16, 10576, 1172, 9404, 177
16, 10108, 1173, 8935, 199
16, 10184, 1174, 9010, 210
16, 10275, 1174, 9101, 268
